utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	7.347460	0.202897	0.244895
LA_0019	LA_E_6584821	6.007478	7.519887	0.135114	0.373804
LA_0031	LA_E_8309979	5.966453	7.626012	0.212373	0.371303
LA_0030	LA_E_9438808	6.152403	7.403405	0.323816	0.304800
LA_0045	LA_E_6385327	5.977988	7.617724	0.166266	0.382270
LA_0045	LA_E_9848915	6.328830	7.900314	0.204410	0.404936
LA_0041	LA_E_1644908	5.918551	7.764790	0.050088	0.228002
LA_0009	LA_E_8183187	6.248770	7.334858	0.147870	0.369602
LA_0013	LA_E_4103863	5.833566	7.227706	0.304094	0.277445
LA_0043	LA_E_8388654	6.039109	7.597418	0.257136	0.359694
LA_0036	LA_E_9219334	5.780338	7.086143	0.297703	0.229781
LA_0043	LA_E_9641502	6.301359	7.338969	0.238351	0.339782
LA_0001	LA_E_6163703	5.883965	7.536120	0.332709	0.333756
LA_0036	LA_E_8151959	6.156921	7.545613	0.195797	0.388542
LA_0004	LA_E_6601144	5.863744	7.320932	0.092323	0.342408
LA_0035	LA_E_5479419	6.013765	7.787890	0.299174	0.275409
LA_0017	LA_E_6700890	6.159208	7.545408	0.278441	0.260022
LA_0028	LA_E_3233085	5.552996	7.287379	0.158343	0.375589
LA_0041	LA_E_4409988	5.959397	7.531651	0.232863	0.397753
LA_0039	LA_E_7092577	6.005726	7.319227	0.231706	0.212702
LA_0043	LA_E_3466694	6.273182	7.475322	0.333164	0.300837
LA_0039	LA_E_5667435	5.816525	7.510375	0.349571	0.385499
LA_0045	LA_E_9882420	5.938583	7.232446	0.197831	0.218279
LA_0037	LA_E_6227078	5.814979	7.139262	0.195376	0.278888
LA_0041	LA_E_1478219	6.019012	7.060410	0.174056	0.268165
LA_0002	LA_E_5054757	6.442132	7.442461	0.187941	0.381759
LA_0041	LA_E_1567330	5.868548	7.716173	0.141210	0.394031
LA_0039	LA_E_5625513	5.870858	7.345425	0.146257	0.410437
LA_0034	LA_E_6982823	5.622774	7.378386	0.277884	0.346108
LA_0048	LA_E_6589247	5.535551	7.042398	0.271743	0.233900
LA_0045	LA_E_5196059	5.980740	7.722028	0.244371	0.399219
LA_0016	LA_E_2660052	6.078014	7.519135	0.079033	0.359898
LA_0045	LA_E_6237116	6.533828	7.650127	0.315501	0.267540
LA_0043	LA_E_1180334	6.088227	7.744391	0.287071	0.376593
LA_0018	LA_E_6336673	6.053807	7.351497	0.443276	0.257389
LA_0007	LA_E_2232644	6.289684	7.699374	0.247236	0.410782
