utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	7.483110	0.202897	0.257046
LA_0019	LA_E_6584821	6.007478	7.741853	0.135114	0.197033
LA_0031	LA_E_8309979	5.966453	7.733197	0.212373	0.448102
LA_0030	LA_E_9438808	6.152403	7.551061	0.323816	0.333308
LA_0045	LA_E_6385327	5.977988	7.811945	0.166266	0.379460
LA_0045	LA_E_9848915	6.328830	8.102331	0.204410	0.256868
LA_0041	LA_E_1644908	5.918551	7.852113	0.050088	0.326067
LA_0009	LA_E_8183187	6.248770	7.498025	0.147870	0.401877
LA_0013	LA_E_4103863	5.833566	7.226648	0.304094	0.362668
LA_0043	LA_E_8388654	6.039109	7.832849	0.257136	0.218358
LA_0036	LA_E_9219334	5.780338	7.262824	0.297703	0.237992
LA_0043	LA_E_9641502	6.301359	7.511202	0.238351	0.407452
LA_0001	LA_E_6163703	5.883965	7.773344	0.332709	0.334228
LA_0036	LA_E_8151959	6.156921	7.746660	0.195797	0.410231
LA_0004	LA_E_6601144	5.863744	7.514590	0.092323	0.415655
LA_0035	LA_E_5479419	6.013765	7.856739	0.299174	0.314552
LA_0017	LA_E_6700890	6.159208	7.670804	0.278441	0.259229
LA_0028	LA_E_3233085	5.552996	7.415613	0.158343	0.357536
LA_0041	LA_E_4409988	5.959397	7.831618	0.232863	0.220846
LA_0039	LA_E_7092577	6.005726	7.522507	0.231706	0.227548
LA_0043	LA_E_3466694	6.273182	7.719373	0.333164	0.340527
LA_0039	LA_E_5667435	5.816525	7.638934	0.349571	0.234499
LA_0045	LA_E_9882420	5.938583	7.452184	0.197831	0.212321
LA_0037	LA_E_6227078	5.814979	7.201555	0.195376	0.350356
LA_0041	LA_E_1478219	6.019012	7.206951	0.174056	0.345713
LA_0002	LA_E_5054757	6.442132	7.628637	0.187941	0.369385
LA_0041	LA_E_1567330	5.868548	8.045973	0.141210	0.387586
LA_0039	LA_E_5625513	5.870858	7.482828	0.146257	0.167130
LA_0034	LA_E_6982823	5.622774	7.511652	0.277884	0.232535
LA_0048	LA_E_6589247	5.535551	7.235949	0.271743	0.407911
LA_0045	LA_E_5196059	5.980740	7.846776	0.244371	0.298234
LA_0016	LA_E_2660052	6.078014	7.679496	0.079033	0.388996
LA_0045	LA_E_6237116	6.533828	7.831858	0.315501	0.252199
LA_0043	LA_E_1180334	6.088227	8.079733	0.287071	0.425223
LA_0018	LA_E_6336673	6.053807	7.442651	0.443276	0.274274
LA_0007	LA_E_2232644	6.289684	7.842482	0.247236	0.215458
LA_0015	LA_E_3246561	6.298014	7.890492	0.104048	0.345723
LA_0016	LA_E_1121844	6.085436	7.667458	0.268347	0.308002
LA_0034	LA_E_6346117	6.504882	8.048097	0.293133	0.349409
LA_0043	LA_E_5296134	6.042970	7.596997	0.299355	0.399799
LA_0001	LA_E_1173407	5.933594	7.868947	0.198402	0.386554
LA_0042	LA_E_5903059	6.094370	8.082923	0.288049	0.404101
LA_0034	LA_E_2041982	6.142266	7.581791	0.279886	0.237411
LA_0031	LA_E_5108121	5.989035	7.637891	0.233048	0.267823
LA_0008	LA_E_5625513	5.870858	7.599849	0.242981	0.197187
LA_0035	LA_E_1373332	5.954067	7.464681	0.237587	0.397405
LA_0009	LA_E_4691178	5.874273	7.718110	0.202081	0.430924
LA_0036	LA_E_6802463	5.896481	7.535471	0.290031	0.285127
LA_0008	LA_E_6826899	6.331647	8.004545	0.177385	0.385210
LA_0037	LA_E_7955349	6.246908	7.568138	0.335214	0.352633
LA_0010	LA_E_4484865	5.084508	7.771062	0.216799	0.191926
LA_0035	LA_E_8786056	5.904277	7.235994	0.219143	0.390107
LA_0004	LA_E_3572990	5.803145	7.619050	0.295255	0.372678
LA_0001	LA_E_7010243	6.336101	7.680932	0.284283	0.279882
LA_0023	LA_E_6017356	6.019198	7.351752	0.147377	0.222502
LA_0025	LA_E_2240603	6.125496	7.665757	0.099553	0.431567
LA_0016	LA_E_8672894	6.366686	7.682244	0.265422	0.226662
LA_0018	LA_E_9318500	6.204659	7.966007	0.298634	0.281763
LA_0043	LA_E_3822402	6.285519	7.475121	0.223143	0.344037
LA_0039	LA_E_8169597	6.417088	7.781610	0.288001	0.377167
LA_0017	LA_E_2222270	6.510851	8.107288	0.249777	0.396149
LA_0039	LA_E_6873356	5.652803	7.928469	0.170681	0.187468
LA_0047	LA_E_2025487	6.126920	7.715586	0.124724	0.315321
LA_0026	LA_E_9362104	6.018758	7.777133	0.238659	0.420164
LA_0009	LA_E_7862687	5.960294	7.587380	0.135818	0.378125
LA_0017	LA_E_5318552	6.271271	7.562673	0.248503	0.267500
LA_0043	LA_E_9777016	6.139984	7.384294	0.296716	0.386646
LA_0027	LA_E_1978236	6.050845	7.737144	0.250134	0.267685
LA_0009	LA_E_9480739	6.135283	7.889547	0.206175	0.211835
LA_0031	LA_E_3551532	6.158280	7.508138	0.254555	0.205568
LA_0047	LA_E_3715131	5.245144	6.982361	0.348284	0.373300
LA_0027	LA_E_5049397	6.438218	7.974450	0.216772	0.243907
LA_0045	LA_E_3704118	6.400801	7.683172	0.303066	0.251084
LA_0017	LA_E_2456681	6.094885	7.721337	0.203680	0.205447
LA_0015	LA_E_9082970	6.212625	8.160071	0.235796	0.363462
LA_0016	LA_E_7218987	6.102642	7.511825	0.065566	0.363520
LA_0044	LA_E_7769419	5.384804	7.635313	0.250902	0.390143
LA_0043	LA_E_2267312	5.599077	7.918909	0.145008	0.190295
