utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	7.408598	0.202897	0.255501
LA_0019	LA_E_6584821	6.007478	7.620930	0.135114	0.370214
LA_0031	LA_E_8309979	5.966453	7.608733	0.212373	0.376227
LA_0030	LA_E_9438808	6.152403	7.383709	0.323816	0.315693
LA_0045	LA_E_6385327	5.977988	7.681745	0.166266	0.392421
LA_0045	LA_E_9848915	6.328830	7.889007	0.204410	0.419254
LA_0041	LA_E_1644908	5.918551	7.694437	0.050088	0.245624
LA_0009	LA_E_8183187	6.248770	7.360825	0.147870	0.359473
LA_0013	LA_E_4103863	5.833566	7.193503	0.304094	0.315665
LA_0043	LA_E_8388654	6.039109	7.615063	0.257136	0.363118
LA_0036	LA_E_9219334	5.780338	6.920840	0.297703	0.414625
LA_0043	LA_E_9641502	6.301359	7.214746	0.238351	0.347472
LA_0001	LA_E_6163703	5.883965	7.516291	0.332709	0.332091
LA_0036	LA_E_8151959	6.156921	7.581779	0.195797	0.389054
LA_0004	LA_E_6601144	5.863744	7.326912	0.092323	0.326118
LA_0035	LA_E_5479419	6.013765	7.708997	0.299174	0.278130
LA_0017	LA_E_6700890	6.159208	7.553406	0.278441	0.261976
LA_0028	LA_E_3233085	5.552996	7.258473	0.158343	0.369050
LA_0041	LA_E_4409988	5.959397	7.521841	0.232863	0.373497
LA_0039	LA_E_7092577	6.005726	7.304773	0.231706	0.210583
LA_0043	LA_E_3466694	6.273182	7.523114	0.333164	0.304326
LA_0039	LA_E_5667435	5.816525	7.533759	0.349571	0.403379
LA_0045	LA_E_9882420	5.938583	7.324712	0.197831	0.224600
LA_0037	LA_E_6227078	5.814979	7.123105	0.195376	0.314169
LA_0041	LA_E_1478219	6.019012	7.017882	0.174056	0.281558
LA_0002	LA_E_5054757	6.442132	7.487076	0.187941	0.384399
LA_0041	LA_E_1567330	5.868548	7.776254	0.141210	0.380979
LA_0039	LA_E_5625513	5.870858	7.359180	0.146257	0.415324
LA_0034	LA_E_6982823	5.622774	7.441112	0.277884	0.352157
LA_0048	LA_E_6589247	5.535551	7.058149	0.271743	0.245526
LA_0045	LA_E_5196059	5.980740	7.709743	0.244371	0.400668
LA_0016	LA_E_2660052	6.078014	7.514440	0.079033	0.330000
LA_0045	LA_E_6237116	6.533828	7.788070	0.315501	0.271298
LA_0043	LA_E_1180334	6.088227	7.713248	0.287071	0.378416
LA_0018	LA_E_6336673	6.053807	7.330303	0.443276	0.267507
LA_0007	LA_E_2232644	6.289684	7.657916	0.247236	0.394029
LA_0015	LA_E_3246561	6.298014	7.661388	0.104048	0.257487
LA_0016	LA_E_1121844	6.085436	7.454833	0.268347	0.271054
LA_0034	LA_E_6346117	6.504882	7.859107	0.293133	0.323684
LA_0043	LA_E_5296134	6.042970	7.424264	0.299355	0.388331
LA_0001	LA_E_1173407	5.933594	7.738218	0.198402	0.287882
LA_0042	LA_E_5903059	6.094370	7.827902	0.288049	0.393278
LA_0034	LA_E_2041982	6.142266	7.347660	0.279886	0.368133
LA_0031	LA_E_5108121	5.989035	7.446591	0.233048	0.243098
LA_0008	LA_E_5625513	5.870858	7.312349	0.242981	0.287670
LA_0035	LA_E_1373332	5.954067	7.308181	0.237587	0.268572
LA_0009	LA_E_4691178	5.874273	7.521854	0.202081	0.346328
LA_0036	LA_E_6802463	5.896481	7.451207	0.290031	0.339919
LA_0008	LA_E_6826899	6.331647	7.750661	0.177385	0.363162
LA_0037	LA_E_7955349	6.246908	7.407498	0.335214	0.343156
LA_0010	LA_E_4484865	5.084508	7.466309	0.216799	0.177511
LA_0035	LA_E_8786056	5.904277	7.110277	0.219143	0.347152
LA_0004	LA_E_3572990	5.803145	7.336205	0.295255	0.229695
LA_0001	LA_E_7010243	6.336101	7.425100	0.284283	0.241013
LA_0023	LA_E_6017356	6.019198	7.166874	0.147377	0.351827
LA_0025	LA_E_2240603	6.125496	7.387507	0.099553	0.384609
LA_0016	LA_E_8672894	6.366686	7.606608	0.265422	0.384592
LA_0018	LA_E_9318500	6.204659	7.707392	0.298634	0.283421
LA_0043	LA_E_3822402	6.285519	7.344935	0.223143	0.294625
LA_0039	LA_E_8169597	6.417088	7.552893	0.288001	0.277797
LA_0017	LA_E_2222270	6.510851	7.889359	0.249777	0.375498
LA_0039	LA_E_6873356	5.652803	7.673106	0.170681	0.400096
LA_0047	LA_E_2025487	6.126920	7.563432	0.124724	0.301621
LA_0026	LA_E_9362104	6.018758	7.572283	0.238659	0.242869
LA_0009	LA_E_7862687	5.960294	7.324087	0.135818	0.346719
LA_0017	LA_E_5318552	6.271271	7.412469	0.248503	0.300936
LA_0043	LA_E_9777016	6.139984	7.218794	0.296716	0.354905
LA_0027	LA_E_1978236	6.050845	7.484810	0.250134	0.246758
LA_0009	LA_E_9480739	6.135283	7.758364	0.206175	0.221443
LA_0031	LA_E_3551532	6.158280	7.323366	0.254555	0.210504
LA_0047	LA_E_3715131	5.245144	7.055935	0.348284	0.326385
LA_0027	LA_E_5049397	6.438218	7.813945	0.216772	0.396995
LA_0045	LA_E_3704118	6.400801	7.508900	0.303066	0.245669
LA_0017	LA_E_2456681	6.094885	7.428233	0.203680	0.421661
LA_0015	LA_E_9082970	6.212625	7.955717	0.235796	0.353558
LA_0016	LA_E_7218987	6.102642	7.300707	0.065566	0.272111
LA_0044	LA_E_7769419	5.384804	7.359245	0.250902	0.372823
LA_0043	LA_E_2267312	5.599077	7.508877	0.145008	0.391966
LA_0037	LA_E_9630978	6.323189	7.592460	0.299553	0.296029
