utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0004	LA_E_4843115	-6.083459	1.555354	0.500955	0.282764
LA_0021	LA_E_6360880	-5.859492	0.971218	0.457183	0.297101
LA_0031	LA_E_2783538	-2.065064	2.308030	0.384161	0.244116
LA_0046	LA_E_5100191	-5.679204	1.538477	0.056196	0.320439
LA_0029	LA_E_3379700	-6.111271	2.723982	-0.111721	0.232826
LA_0025	LA_E_5269774	-5.449731	3.406766	0.086077	0.226114
LA_0043	LA_E_7243133	-5.192157	0.632775	0.395695	0.382293
LA_0017	LA_E_5353967	-5.854182	2.174214	0.433686	0.416459
LA_0022	LA_E_8835687	-0.998054	1.749322	0.404921	0.210842
LA_0010	LA_E_4525964	-1.702616	2.090780	0.671727	0.387601
LA_0030	LA_E_4883109	-6.215629	1.316458	0.264653	0.228408
LA_0045	LA_E_5145296	-5.056493	1.485852	0.647898	0.327672
LA_0010	LA_E_2524333	-6.210250	0.248710	0.549437	0.386724
LA_0041	LA_E_7456552	-6.098352	1.807576	0.209811	0.333278
LA_0014	LA_E_7738711	-6.122644	2.572586	0.276414	0.244821
LA_0028	LA_E_8073476	-4.949101	1.369709	0.680237	0.351100
LA_0031	LA_E_2086956	-5.775314	1.276650	0.411706	0.345859
LA_0015	LA_E_5241267	-5.907262	2.431566	0.330889	0.236305
LA_0024	LA_E_2044569	-5.915879	1.277436	0.713476	0.339771
LA_0035	LA_E_5909511	-2.832193	1.978194	0.747553	0.435708
LA_0020	LA_E_7853849	-6.132991	0.931387	0.686736	0.332003
LA_0002	LA_E_4581510	-6.162259	1.964298	0.346051	0.288170
LA_0047	LA_E_4006889	-5.285690	1.945977	0.327935	0.294418
LA_0026	LA_E_3104280	-3.950207	1.017678	0.028627	0.398736
LA_0003	LA_E_2768837	-6.058068	1.846938	0.183768	0.293130
LA_0041	LA_E_2987912	-6.145770	1.112815	0.214065	0.293632
LA_0008	LA_E_5700119	-1.713809	2.178779	0.380224	0.285196
LA_0027	LA_E_7213636	-6.221687	1.991392	0.439335	0.287399
LA_0045	LA_E_6686618	-5.603888	2.198967	0.476755	0.402504
LA_0028	LA_E_3233017	-5.892345	2.153546	0.645856	0.350451
LA_0008	LA_E_5269378	-3.423755	1.254963	0.285776	0.271834
LA_0004	LA_E_2482647	-6.095393	0.662382	0.615639	0.345781
LA_0009	LA_E_9209393	-6.299007	2.101206	0.302311	0.398339
LA_0047	LA_E_2328352	-5.907307	0.929050	0.459643	0.320609
LA_0015	LA_E_2231993	-6.047887	2.217752	0.517176	0.301378
LA_0022	LA_E_1448561	-6.124029	2.349255	0.779895	0.396772
LA_0011	LA_E_5423174	-5.959276	0.563896	0.575987	0.364565
LA_0011	LA_E_6888125	-4.482976	1.486563	0.682889	0.422619
LA_0040	LA_E_6587654	-6.115552	1.710595	0.886143	0.366489
LA_0042	LA_E_9110808	-6.074509	1.832451	0.494663	0.333189
LA_0031	LA_E_8092069	-5.876128	1.587585	0.678002	0.274620
LA_0048	LA_E_5810534	-5.142449	2.261908	0.610611	0.380447
LA_0026	LA_E_4466407	-5.846233	1.086777	0.197133	0.383740
LA_0047	LA_E_9677967	-3.542436	2.037045	0.550846	0.282021
LA_0013	LA_E_9062665	-5.804997	1.819135	0.249723	0.382862
LA_0045	LA_E_1703024	-6.049446	2.058053	0.304493	0.307785
LA_0027	LA_E_8363307	-6.218731	2.089318	0.724167	0.420490
LA_0048	LA_E_2346750	-6.263796	1.898785	0.491149	0.315236
LA_0019	LA_E_3541068	-6.124670	0.746690	0.169214	0.357722
LA_0008	LA_E_7034046	-6.113427	2.572870	0.817829	0.279898
LA_0042	LA_E_2165838	-5.146310	1.511403	0.549375	0.374965
LA_0033	LA_E_4754798	-5.944363	0.585010	0.714109	0.325286
LA_0008	LA_E_9821918	-6.165056	0.919963	-0.014565	0.335692
LA_0004	LA_E_9761450	-5.951714	2.262911	0.410370	0.381511
LA_0036	LA_E_3834937	-6.224970	2.573540	0.470404	0.423442
LA_0008	LA_E_9890491	-4.651999	2.489941	0.404625	0.293650
LA_0021	LA_E_8017175	-5.090829	2.295003	0.527857	0.240737
LA_0019	LA_E_4525909	-3.341249	1.634787	0.091006	0.411919
LA_0026	LA_E_9063665	-3.555591	1.804653	0.688217	0.305557
LA_0042	LA_E_9785225	-1.509992	1.588277	0.522897	0.285154
LA_0030	LA_E_9765975	-5.725410	2.153934	0.857974	0.255410
LA_0014	LA_E_6146459	-5.971251	2.414849	0.088213	0.259405
LA_0028	LA_E_7186816	-1.238412	1.472871	0.529858	0.335980
LA_0019	LA_E_3993367	-5.955107	0.975953	0.027563	0.330521
LA_0014	LA_E_2099138	-6.026422	2.719214	0.326299	0.357201
LA_0014	LA_E_7956272	-5.689361	1.499035	0.584957	0.307521
LA_0019	LA_E_3611875	-6.029263	2.010327	0.568387	0.215284
LA_0045	LA_E_8013181	-4.946156	1.979473	0.729730	0.372713
LA_0037	LA_E_6461980	-5.827481	1.223822	0.675073	0.274305
LA_0022	LA_E_5325324	-5.498545	3.219693	0.035172	0.288049
LA_0028	LA_E_8792344	-6.240554	1.664530	0.095596	0.237406
LA_0009	LA_E_8135336	-6.288301	0.672721	0.465172	0.247925
LA_0014	LA_E_6182113	-4.977122	1.723915	0.470222	0.232449
LA_0019	LA_E_2788428	-5.754904	2.482909	0.586150	0.430818
LA_0044	LA_E_5182024	-4.976755	1.153720	0.888806	0.419361
LA_0016	LA_E_4969789	-6.325568	1.332867	0.438768	0.348999
LA_0003	LA_E_8877833	-4.991208	2.088431	0.532202	0.253294
LA_0037	LA_E_7314993	-4.106561	2.478220	0.598533	0.326639
LA_0022	LA_E_9612319	-6.235534	1.916870	0.733988	0.303636
LA_0003	LA_E_2599724	-2.275074	3.926019	0.131727	0.308725
LA_0019	LA_E_9163862	-6.079032	0.916514	0.173430	0.218690
LA_0036	LA_E_5190548	-5.670186	1.461969	0.140876	0.261775
LA_0009	LA_E_4919564	-6.316231	0.644893	0.517438	0.338165
LA_0015	LA_E_5048285	-3.300601	1.595677	0.838294	0.398728
