utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	6.215422	0.202897	0.202897
LA_0019	LA_E_6584821	6.007478	6.007478	0.135114	0.135114
LA_0031	LA_E_8309979	5.966453	5.966453	0.212373	0.212373
LA_0030	LA_E_9438808	6.152403	6.152403	0.323816	0.323816
LA_0045	LA_E_6385327	5.977988	5.977988	0.166266	0.166266
LA_0045	LA_E_9848915	6.328830	6.328830	0.204410	0.204410
LA_0041	LA_E_1644908	5.918551	5.918551	0.050088	0.050088
LA_0009	LA_E_8183187	6.248770	6.248770	0.147870	0.147870
LA_0013	LA_E_4103863	5.833566	5.833566	0.304094	0.304094
LA_0043	LA_E_8388654	6.039109	6.039109	0.257136	0.257136
LA_0036	LA_E_9219334	5.780338	5.780338	0.297703	0.297703
LA_0043	LA_E_9641502	6.301359	6.301359	0.238351	0.238351
LA_0001	LA_E_6163703	5.883965	5.883965	0.332709	0.332709
LA_0036	LA_E_8151959	6.156921	6.156921	0.195797	0.195797
LA_0004	LA_E_6601144	5.863744	5.863744	0.092323	0.092323
LA_0035	LA_E_5479419	6.013765	6.013765	0.299174	0.299174
LA_0017	LA_E_6700890	6.159208	6.159208	0.278441	0.278441
LA_0028	LA_E_3233085	5.552996	5.552996	0.158343	0.158343
LA_0041	LA_E_4409988	5.959397	5.959397	0.232863	0.232863
LA_0039	LA_E_7092577	6.005726	6.005726	0.231706	0.231706
LA_0043	LA_E_3466694	6.273182	6.273182	0.333164	0.333164
LA_0039	LA_E_5667435	5.816525	5.816525	0.349571	0.349571
LA_0045	LA_E_9882420	5.938583	5.938583	0.197831	0.197831
LA_0037	LA_E_6227078	5.814979	5.814979	0.195376	0.195376
LA_0041	LA_E_1478219	6.019012	6.019012	0.174056	0.174056
LA_0002	LA_E_5054757	6.442132	6.442132	0.187941	0.187941
LA_0041	LA_E_1567330	5.868548	5.868548	0.141210	0.141210
LA_0039	LA_E_5625513	5.870858	5.870858	0.146257	0.146257
LA_0034	LA_E_6982823	5.622774	5.622774	0.277884	0.277884
LA_0048	LA_E_6589247	5.535551	5.535551	0.271743	0.271743
LA_0045	LA_E_5196059	5.980740	5.980740	0.244371	0.244371
LA_0016	LA_E_2660052	6.078014	6.078014	0.079033	0.079033
LA_0045	LA_E_6237116	6.533828	6.533828	0.315501	0.315501
LA_0043	LA_E_1180334	6.088227	6.088227	0.287071	0.287071
LA_0018	LA_E_6336673	6.053807	6.053807	0.443276	0.443276
LA_0007	LA_E_2232644	6.289684	6.289684	0.247236	0.247236
LA_0015	LA_E_3246561	6.298014	6.298014	0.104048	0.104048
LA_0016	LA_E_1121844	6.085436	6.085436	0.268347	0.268347
LA_0034	LA_E_6346117	6.504882	6.504882	0.293133	0.293133
LA_0043	LA_E_5296134	6.042970	6.042970	0.299355	0.299355
LA_0001	LA_E_1173407	5.933594	5.933594	0.198402	0.198402
LA_0042	LA_E_5903059	6.094370	6.094370	0.288049	0.288049
LA_0034	LA_E_2041982	6.142266	6.142266	0.279886	0.279886
LA_0031	LA_E_5108121	5.989035	5.989035	0.233048	0.233048
LA_0008	LA_E_5625513	5.870858	5.870858	0.242981	0.242981
LA_0035	LA_E_1373332	5.954067	5.954067	0.237587	0.237587
LA_0009	LA_E_4691178	5.874273	5.874273	0.202081	0.202081
LA_0036	LA_E_6802463	5.896481	5.896481	0.290031	0.290031
LA_0008	LA_E_6826899	6.331647	6.331647	0.177385	0.177385
LA_0037	LA_E_7955349	6.246908	6.246908	0.335214	0.335214
LA_0010	LA_E_4484865	5.084508	5.084508	0.216799	0.216799
LA_0035	LA_E_8786056	5.904277	5.904277	0.219143	0.219143
LA_0004	LA_E_3572990	5.803145	5.803145	0.295255	0.295255
LA_0001	LA_E_7010243	6.336101	6.336101	0.284283	0.284283
LA_0023	LA_E_6017356	6.019198	6.019198	0.147377	0.147377
LA_0025	LA_E_2240603	6.125496	6.125496	0.099553	0.099553
LA_0016	LA_E_8672894	6.366686	6.366686	0.265422	0.265422
LA_0018	LA_E_9318500	6.204659	6.204659	0.298634	0.298634
LA_0043	LA_E_3822402	6.285519	6.285519	0.223143	0.223143
LA_0039	LA_E_8169597	6.417088	6.417088	0.288001	0.288001
LA_0017	LA_E_2222270	6.510851	6.510851	0.249777	0.249777
LA_0039	LA_E_6873356	5.652803	5.652803	0.170681	0.170681
LA_0047	LA_E_2025487	6.126920	6.126920	0.124724	0.124724
LA_0026	LA_E_9362104	6.018758	6.018758	0.238659	0.238659
LA_0009	LA_E_7862687	5.960294	5.960294	0.135818	0.135818
LA_0017	LA_E_5318552	6.271271	6.271271	0.248503	0.248503
LA_0043	LA_E_9777016	6.139984	6.139984	0.296716	0.296716
LA_0027	LA_E_1978236	6.050845	6.050845	0.250134	0.250134
LA_0009	LA_E_9480739	6.135283	6.135283	0.206175	0.206175
LA_0031	LA_E_3551532	6.158280	6.158280	0.254555	0.254555
LA_0047	LA_E_3715131	5.245144	5.245144	0.348284	0.348284
LA_0027	LA_E_5049397	6.438218	6.438218	0.216772	0.216772
LA_0045	LA_E_3704118	6.400801	6.400801	0.303066	0.303066
LA_0017	LA_E_2456681	6.094885	6.094885	0.203680	0.203680
LA_0015	LA_E_9082970	6.212625	6.212625	0.235796	0.235796
LA_0016	LA_E_7218987	6.102642	6.102642	0.065566	0.065566
LA_0044	LA_E_7769419	5.384804	5.384804	0.250902	0.250902
LA_0043	LA_E_2267312	5.599077	5.599077	0.145008	0.145008
LA_0037	LA_E_9630978	6.323189	6.323189	0.299553	0.299553
LA_0041	LA_E_5385777	5.623046	5.623046	0.318298	0.318298
LA_0017	LA_E_3206572	6.424969	6.424969	0.167356	0.167356
LA_0033	LA_E_6152359	5.539860	5.539860	0.337838	0.337838
LA_0037	LA_E_7295579	4.959955	4.959955	0.306253	0.306253
LA_0041	LA_E_3417739	5.998095	5.998095	0.338590	0.338590
LA_0010	LA_E_6712126	6.030588	6.030588	0.215384	0.215384
LA_0022	LA_E_1613408	5.952629	5.952629	0.106503	0.106503
LA_0005	LA_E_5421571	6.408051	6.408051	0.238673	0.238673
LA_0035	LA_E_4407998	6.076273	6.076273	0.155630	0.155630
LA_0034	LA_E_2288596	5.689251	5.689251	0.166670	0.166670
LA_0027	LA_E_3425904	6.196429	6.196429	0.206906	0.206906
LA_0016	LA_E_1540962	6.269091	6.269091	0.104748	0.104748
LA_0027	LA_E_4352922	6.589682	6.589682	0.221214	0.221214
LA_0039	LA_E_1715585	6.230258	6.230258	0.160255	0.160255
LA_0018	LA_E_8563944	6.077277	6.077277	0.287788	0.287788
LA_0016	LA_E_8547733	5.686225	5.686225	0.126245	0.126245
LA_0016	LA_E_2896889	6.279119	6.279119	0.222101	0.222101
LA_0017	LA_E_5928848	6.140696	6.140696	0.358397	0.358397
LA_0022	LA_E_4376357	6.128639	6.128639	0.157087	0.157087
LA_0023	LA_E_8563944	6.077277	6.077277	0.177498	0.177498
LA_0007	LA_E_1010349	6.255440	6.255440	0.343833	0.343833
LA_0037	LA_E_9667786	6.289331	6.289331	0.353514	0.353514
LA_0009	LA_E_1819595	5.626957	5.626957	0.162285	0.162285
LA_0045	LA_E_6346117	6.504882	6.504882	0.197513	0.197513
LA_0027	LA_E_4856684	5.883228	5.883228	0.209247	0.209247
LA_0036	LA_E_7455353	5.987572	5.987572	0.291107	0.291107
LA_0031	LA_E_2714189	6.329946	6.329946	0.157339	0.157339
LA_0010	LA_E_4218432	5.779537	5.779537	0.221326	0.221326
LA_0045	LA_E_2514376	5.996896	5.996896	0.293326	0.293326
LA_0004	LA_E_3306877	5.724100	5.724100	0.181568	0.181568
LA_0045	LA_E_4352922	6.589682	6.589682	0.200936	0.200936
LA_0016	LA_E_2724873	5.096128	5.096128	0.138691	0.138691
LA_0025	LA_E_3246059	5.962335	5.962335	0.130668	0.130668
LA_0007	LA_E_3527138	6.652676	6.652676	0.253515	0.253515
LA_0037	LA_E_6873356	5.652803	5.652803	0.210910	0.210910
LA_0013	LA_E_6500771	6.257715	6.257715	0.237954	0.237954
LA_0027	LA_E_5899892	6.275688	6.275688	0.226605	0.226605
LA_0022	LA_E_2097092	5.914764	5.914764	0.198996	0.198996
LA_0021	LA_E_3775722	5.831135	5.831135	0.121308	0.121308
LA_0018	LA_E_5588661	6.407807	6.407807	0.291247	0.291247
LA_0043	LA_E_4325150	5.894443	5.894443	0.296386	0.296386
LA_0043	LA_E_4479083	6.349959	6.349959	0.299418	0.299418
LA_0007	LA_E_8601887	5.879272	5.879272	0.178375	0.178375
LA_0037	LA_E_5376768	6.159697	6.159697	0.246405	0.246405
LA_0034	LA_E_8146949	5.291011	5.291011	0.145106	0.145106
LA_0011	LA_E_1357326	5.997893	5.997893	0.352414	0.352414
LA_0026	LA_E_4352922	6.589682	6.589682	0.173274	0.173274
LA_0045	LA_E_5668603	6.375387	6.375387	0.206306	0.206306
LA_0025	LA_E_1174819	5.986142	5.986142	0.218350	0.218350
