utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	4.845306	9.907043	0.217242	0.931674
LA_0019	LA_E_6584821	5.285158	9.399389	0.412065	0.944960
LA_0031	LA_E_8309979	6.045262	9.467161	0.297242	0.963220
LA_0030	LA_E_9438808	4.670760	9.031835	0.362749	0.952326
LA_0045	LA_E_6385327	5.340616	9.432981	0.216911	0.957109
LA_0045	LA_E_9848915	5.918205	8.497168	0.263819	0.957516
LA_0041	LA_E_1644908	4.009449	8.925131	0.200687	0.942213
LA_0009	LA_E_8183187	4.532299	9.777658	0.313594	0.948108
LA_0013	LA_E_4103863	1.640584	8.872123	0.453571	0.933094
LA_0043	LA_E_8388654	5.666040	8.399088	0.327689	0.950567
LA_0036	LA_E_9219334	0.748869	-12.427268	0.463528	0.947915
LA_0043	LA_E_9641502	4.154497	9.390471	0.326178	0.933680
LA_0001	LA_E_6163703	4.188136	7.004614	0.399705	0.933445
LA_0036	LA_E_8151959	5.732417	8.958868	0.207252	0.949187
LA_0004	LA_E_6601144	4.774915	9.273264	0.172051	0.943841
LA_0035	LA_E_5479419	5.213949	9.099113	0.279079	0.945002
LA_0017	LA_E_6700890	6.077065	9.642303	0.284084	0.953867
LA_0028	LA_E_3233085	4.469651	9.322452	0.174345	0.945170
LA_0041	LA_E_4409988	5.027088	8.262117	0.334612	0.959248
LA_0039	LA_E_7092577	4.678146	9.314704	0.347373	0.970402
LA_0043	LA_E_3466694	4.314503	9.474963	0.404660	0.942431
LA_0039	LA_E_5667435	4.887215	9.913031	0.291399	0.942351
LA_0045	LA_E_9882420	2.070112	9.003250	0.233212	0.956816
LA_0037	LA_E_6227078	4.338514	9.639881	0.313077	0.942689
LA_0041	LA_E_1478219	1.027441	-12.345898	0.264721	0.917497
LA_0002	LA_E_5054757	5.137628	9.216980	0.235403	0.957987
LA_0041	LA_E_1567330	3.697753	7.888267	0.213389	0.950919
LA_0039	LA_E_5625513	4.735435	9.604488	0.254840	0.961783
LA_0034	LA_E_6982823	3.867274	9.411368	0.247902	0.935910
LA_0048	LA_E_6589247	4.371192	9.532217	0.398291	0.928662
LA_0045	LA_E_5196059	4.799972	8.649890	0.270011	0.966268
LA_0016	LA_E_2660052	2.833194	9.291294	0.227252	0.954762
LA_0045	LA_E_6237116	5.935669	9.688126	0.280443	0.965348
LA_0043	LA_E_1180334	4.687355	7.956435	0.365958	0.965633
LA_0018	LA_E_6336673	4.504385	9.037754	0.404576	0.962122
LA_0007	LA_E_2232644	4.026177	8.462746	0.313199	0.969591
LA_0015	LA_E_3246561	5.731881	9.153519	0.164124	0.959549
LA_0016	LA_E_1121844	4.545328	8.643618	0.377371	0.954126
LA_0034	LA_E_6346117	5.563911	8.790121	0.317784	0.960088
LA_0043	LA_E_5296134	5.237538	9.321212	0.232288	0.936914
LA_0001	LA_E_1173407	3.860858	8.575270	0.316144	0.947079
LA_0042	LA_E_5903059	5.557592	7.850329	0.353788	0.957774
LA_0034	LA_E_2041982	5.499054	9.557833	0.380904	0.961794
LA_0031	LA_E_5108121	4.848407	8.681738	0.299739	0.979463
LA_0008	LA_E_5625513	4.735435	9.909660	0.199540	0.958252
LA_0035	LA_E_1373332	2.894691	9.669157	0.235691	0.923184
LA_0009	LA_E_4691178	4.150179	9.422751	0.361818	0.956233
LA_0036	LA_E_6802463	4.868106	9.444295	0.223318	0.945046
LA_0008	LA_E_6826899	6.603096	8.949404	0.280517	0.967393
LA_0037	LA_E_7955349	5.009266	9.076521	0.308548	0.960877
LA_0010	LA_E_4484865	4.776946	8.760330	0.328874	0.952523
LA_0035	LA_E_8786056	4.613803	9.706595	0.252091	0.956546
LA_0004	LA_E_3572990	1.421330	-12.556051	0.202019	0.920904
LA_0001	LA_E_7010243	5.668928	9.133470	0.395116	0.960119
LA_0023	LA_E_6017356	3.617487	9.026707	0.185025	0.909792
LA_0025	LA_E_2240603	5.016448	9.286117	0.272561	0.962722
