utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	-1.712376	3.309119	0.217242	0.919123
LA_0019	LA_E_6584821	-1.988810	0.460799	0.412065	0.970038
LA_0031	LA_E_8309979	-6.239678	0.609091	0.297242	0.951335
LA_0030	LA_E_9438808	-4.045251	3.307718	0.362749	0.954719
LA_0045	LA_E_6385327	-3.599019	0.969174	0.216911	0.955774
LA_0045	LA_E_9848915	-5.558218	3.063893	0.263819	0.967939
LA_0041	LA_E_1644908	-2.761112	2.430730	0.200687	0.935709
LA_0009	LA_E_8183187	-3.242725	3.355593	0.313594	0.964622
LA_0013	LA_E_4103863	-4.135292	1.141929	0.453571	0.952782
LA_0043	LA_E_8388654	-3.890587	3.971046	0.327689	0.978154
LA_0036	LA_E_9219334	-4.391375	3.183398	0.463528	0.954026
LA_0043	LA_E_9641502	-4.124468	3.107394	0.326178	0.948904
LA_0001	LA_E_6163703	-4.859060	1.794706	0.399705	0.973765
LA_0036	LA_E_8151959	-2.451279	3.704938	0.207252	0.938684
LA_0004	LA_E_6601144	-1.084678	3.300139	0.172051	0.953773
LA_0035	LA_E_5479419	0.931741	3.025744	0.279079	0.956053
LA_0017	LA_E_6700890	-2.818118	2.772551	0.284084	0.960810
LA_0028	LA_E_3233085	-4.423554	0.984256	0.174345	0.969515
LA_0041	LA_E_4409988	-2.950831	4.182643	0.334612	0.976394
LA_0039	LA_E_7092577	-4.371726	4.204693	0.347373	0.964930
LA_0043	LA_E_3466694	-2.504952	3.621444	0.404660	0.946618
LA_0039	LA_E_5667435	-2.515789	3.097153	0.291399	0.960603
LA_0045	LA_E_9882420	-4.460246	1.547497	0.233212	0.949221
LA_0037	LA_E_6227078	-3.419926	1.779228	0.313077	0.950718
LA_0041	LA_E_1478219	-2.794044	1.654533	0.264721	0.952482
LA_0002	LA_E_5054757	-3.795828	1.837742	0.235403	0.973298
LA_0041	LA_E_1567330	-6.073560	3.331011	0.213389	0.960012
LA_0039	LA_E_5625513	3.107955	1.332323	0.254840	0.972147
LA_0034	LA_E_6982823	-2.733377	3.032478	0.247902	0.942412
LA_0048	LA_E_6589247	-4.258268	2.815395	0.398291	0.956183
LA_0045	LA_E_5196059	-2.986708	4.712913	0.270011	0.969247
LA_0016	LA_E_2660052	-2.694202	1.387180	0.227252	0.965756
LA_0045	LA_E_6237116	-4.085708	3.626860	0.280443	0.967780
LA_0043	LA_E_1180334	-6.081303	3.114493	0.365958	0.956926
LA_0018	LA_E_6336673	-2.611744	1.403445	0.404576	0.952833
LA_0007	LA_E_2232644	-2.742301	3.151866	0.313199	0.950421
LA_0015	LA_E_3246561	-4.281050	4.970138	0.164124	0.953080
LA_0016	LA_E_1121844	-5.217697	2.992398	0.377371	0.968214
LA_0034	LA_E_6346117	-5.646995	0.240359	0.317784	0.961058
LA_0043	LA_E_5296134	-4.414659	3.517262	0.232288	0.950628
LA_0001	LA_E_1173407	-4.937397	3.042460	0.316144	0.942625
LA_0042	LA_E_5903059	-3.377330	3.833260	0.353788	0.964546
LA_0034	LA_E_2041982	-1.599282	3.645886	0.380904	0.964158
LA_0031	LA_E_5108121	-3.798729	0.679150	0.299739	0.982086
LA_0008	LA_E_5625513	3.107955	1.485748	0.199540	0.966958
LA_0035	LA_E_1373332	-3.620338	3.386819	0.235691	0.917666
LA_0009	LA_E_4691178	-4.847897	3.877312	0.361818	0.966421
LA_0036	LA_E_6802463	-0.739056	3.142498	0.223318	0.915341
LA_0008	LA_E_6826899	-4.509106	0.125438	0.280517	0.950691
LA_0037	LA_E_7955349	-3.143196	2.417031	0.308548	0.956038
LA_0010	LA_E_4484865	-4.735750	2.708012	0.328874	0.962759
LA_0035	LA_E_8786056	-4.234077	1.397948	0.252091	0.953708
LA_0004	LA_E_3572990	-4.879323	1.362738	0.202019	0.917479
LA_0001	LA_E_7010243	-0.971614	3.719285	0.395116	0.971286
