utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	7.325321	0.217242	0.933180
LA_0019	LA_E_6584821	6.007478	7.540074	0.412065	0.963101
LA_0031	LA_E_8309979	5.966453	7.602883	0.297242	0.958398
LA_0030	LA_E_9438808	6.152403	7.340786	0.362749	0.959466
LA_0045	LA_E_6385327	5.977988	7.551265	0.216911	0.963146
LA_0045	LA_E_9848915	6.328830	7.885940	0.263819	0.949683
LA_0041	LA_E_1644908	5.918551	7.746943	0.200687	0.955282
LA_0009	LA_E_8183187	6.248770	7.328040	0.313594	0.963141
LA_0013	LA_E_4103863	5.833566	7.339433	0.453571	0.944286
LA_0043	LA_E_8388654	6.039109	7.679049	0.327689	0.955248
LA_0036	LA_E_9219334	5.780338	7.030440	0.463528	0.937476
LA_0043	LA_E_9641502	6.301359	7.325105	0.326178	0.933894
LA_0001	LA_E_6163703	5.883965	7.590510	0.399705	0.965071
LA_0036	LA_E_8151959	6.156921	7.673841	0.207252	0.960296
LA_0004	LA_E_6601144	5.863744	7.277826	0.172051	0.938443
LA_0035	LA_E_5479419	6.013765	7.772716	0.279079	0.952539
LA_0017	LA_E_6700890	6.159208	7.683533	0.284084	0.936318
LA_0028	LA_E_3233085	5.552996	7.224535	0.174345	0.960672
LA_0041	LA_E_4409988	5.959397	7.568145	0.334612	0.953607
LA_0039	LA_E_7092577	6.005726	7.332434	0.347373	0.959890
LA_0043	LA_E_3466694	6.273182	7.500423	0.404660	0.951768
LA_0039	LA_E_5667435	5.816525	7.528261	0.291399	0.954789
LA_0045	LA_E_9882420	5.938583	7.352319	0.233212	0.949422
LA_0037	LA_E_6227078	5.814979	7.083080	0.313077	0.949987
LA_0041	LA_E_1478219	6.019012	6.995194	0.264721	0.924075
LA_0002	LA_E_5054757	6.442132	7.513589	0.235403	0.968045
LA_0041	LA_E_1567330	5.868548	7.790365	0.213389	0.966290
LA_0039	LA_E_5625513	5.870858	7.372282	0.254840	0.968513
LA_0034	LA_E_6982823	5.622774	7.375276	0.247902	0.951007
LA_0048	LA_E_6589247	5.535551	7.201622	0.398291	0.945395
LA_0045	LA_E_5196059	5.980740	7.782759	0.270011	0.959363
LA_0016	LA_E_2660052	6.078014	7.497587	0.227252	0.972252
LA_0045	LA_E_6237116	6.533828	7.682178	0.280443	0.954074
LA_0043	LA_E_1180334	6.088227	7.829701	0.365958	0.962258
LA_0018	LA_E_6336673	6.053807	7.350949	0.404576	0.955814
LA_0007	LA_E_2232644	6.289684	7.683051	0.313199	0.961663
LA_0015	LA_E_3246561	6.298014	7.808582	0.164124	0.966505
LA_0016	LA_E_1121844	6.085436	7.477921	0.377371	0.958428
LA_0034	LA_E_6346117	6.504882	7.844739	0.317784	0.963052
LA_0043	LA_E_5296134	6.042970	7.445283	0.232288	0.923832
LA_0001	LA_E_1173407	5.933594	7.743302	0.316144	0.950568
LA_0042	LA_E_5903059	6.094370	7.985771	0.353788	0.962712
LA_0034	LA_E_2041982	6.142266	7.348038	0.380904	0.953049
LA_0031	LA_E_5108121	5.989035	7.493002	0.299739	0.976209
LA_0008	LA_E_5625513	5.870858	7.394830	0.199540	0.969982
LA_0035	LA_E_1373332	5.954067	7.364186	0.235691	0.923910
LA_0009	LA_E_4691178	5.874273	7.601085	0.361818	0.957860
LA_0036	LA_E_6802463	5.896481	7.496745	0.223318	0.935467
LA_0008	LA_E_6826899	6.331647	7.780082	0.280517	0.966703
LA_0037	LA_E_7955349	6.246908	7.419886	0.308548	0.946145
LA_0010	LA_E_4484865	5.084508	7.510466	0.328874	0.967993
LA_0035	LA_E_8786056	5.904277	7.041348	0.252091	0.944611
LA_0004	LA_E_3572990	5.803145	7.455253	0.202019	0.917402
LA_0001	LA_E_7010243	6.336101	7.543859	0.395116	0.951006
LA_0023	LA_E_6017356	6.019198	7.294477	0.185025	0.945155
LA_0025	LA_E_2240603	6.125496	7.550487	0.272561	0.954142
LA_0016	LA_E_8672894	6.366686	7.633284	0.318532	0.966081
LA_0018	LA_E_9318500	6.204659	7.647513	0.311104	0.969040
LA_0043	LA_E_3822402	6.285519	7.409132	0.399107	0.947395
LA_0039	LA_E_8169597	6.417088	7.623540	0.267616	0.972758
LA_0017	LA_E_2222270	6.510851	7.945415	0.204141	0.945925
LA_0039	LA_E_6873356	5.652803	7.740836	0.189263	0.973097
LA_0047	LA_E_2025487	6.126920	7.573945	0.278165	0.956939
LA_0026	LA_E_9362104	6.018758	7.584403	0.245962	0.967020
LA_0009	LA_E_7862687	5.960294	7.385820	0.174157	0.959888
LA_0017	LA_E_5318552	6.271271	7.347139	0.218584	0.954242
LA_0043	LA_E_9777016	6.139984	7.275860	0.361453	0.944016
LA_0027	LA_E_1978236	6.050845	7.649258	0.341747	0.970816
LA_0009	LA_E_9480739	6.135283	7.722264	0.256927	0.958200
LA_0031	LA_E_3551532	6.158280	7.267735	0.337634	0.964682
LA_0047	LA_E_3715131	5.245144	6.990769	0.348870	0.947698
LA_0027	LA_E_5049397	6.438218	7.798997	0.206316	0.972272
LA_0045	LA_E_3704118	6.400801	7.711636	0.395234	0.954375
LA_0017	LA_E_2456681	6.094885	7.450582	0.397683	0.956808
LA_0015	LA_E_9082970	6.212625	7.939584	0.210627	0.974519
LA_0016	LA_E_7218987	6.102642	7.362487	0.246078	0.954495
LA_0044	LA_E_7769419	5.384804	7.367169	0.286254	0.969006
LA_0043	LA_E_2267312	5.599077	7.658942	0.262065	0.938858
LA_0037	LA_E_9630978	6.323189	7.631360	0.367646	0.946812
LA_0041	LA_E_5385777	5.623046	7.467926	0.350876	0.949317
LA_0017	LA_E_3206572	6.424969	7.566989	0.331601	0.958668
LA_0033	LA_E_6152359	5.539860	7.302518	0.405598	0.965853
LA_0037	LA_E_7295579	4.959955	7.266104	0.342376	0.961076
LA_0041	LA_E_3417739	5.998095	7.263327	0.388973	0.962281
LA_0010	LA_E_6712126	6.030588	7.388856	0.305315	0.953689
LA_0022	LA_E_1613408	5.952629	7.431316	0.202694	0.949795
LA_0005	LA_E_5421571	6.408051	7.252251	0.351556	0.936698
LA_0035	LA_E_4407998	6.076273	7.436999	0.253449	0.952187
LA_0034	LA_E_2288596	5.689251	7.534643	0.262229	0.963074
LA_0027	LA_E_3425904	6.196429	7.350162	0.204832	0.964120
LA_0016	LA_E_1540962	6.269091	7.621322	0.188936	0.951647
LA_0027	LA_E_4352922	6.589682	7.716795	0.244680	0.967014
LA_0039	LA_E_1715585	6.230258	7.512759	0.282391	0.970460
LA_0018	LA_E_8563944	6.077277	7.908938	0.275647	0.957033
LA_0016	LA_E_8547733	5.686225	7.404037	0.306456	0.949229
LA_0016	LA_E_2896889	6.279119	7.687484	0.375712	0.966588
LA_0017	LA_E_5928848	6.140696	7.506236	0.345906	0.968575
LA_0022	LA_E_4376357	6.128639	7.555273	0.275151	0.943531
LA_0023	LA_E_8563944	6.077277	7.883679	0.103993	0.954369
LA_0007	LA_E_1010349	6.255440	7.572687	0.338449	0.951234
LA_0037	LA_E_9667786	6.289331	8.067255	0.297187	0.945836
LA_0009	LA_E_1819595	5.626957	7.240405	0.289911	0.931194
LA_0045	LA_E_6346117	6.504882	7.875173	0.258468	0.957999
LA_0027	LA_E_4856684	5.883228	7.424331	0.209962	0.939444
LA_0036	LA_E_7455353	5.987572	7.627314	0.255777	0.959624
LA_0031	LA_E_2714189	6.329946	7.666488	0.308696	0.966215
LA_0010	LA_E_4218432	5.779537	7.679698	0.297855	0.963257
LA_0045	LA_E_2514376	5.996896	7.507963	0.241297	0.949525
LA_0004	LA_E_3306877	5.724100	7.432253	0.300222	0.914093
LA_0045	LA_E_4352922	6.589682	7.726871	0.204696	0.959971
LA_0016	LA_E_2724873	5.096128	7.690171	0.323187	0.966671
LA_0025	LA_E_3246059	5.962335	7.409369	0.146749	0.927211
LA_0007	LA_E_3527138	6.652676	7.773777	0.233216	0.952391
LA_0037	LA_E_6873356	5.652803	7.784274	0.351848	0.946805
LA_0013	LA_E_6500771	6.257715	7.538950	0.350220	0.943091
