utt1	utt2	cm_before	cm_after	asv_before	asv_after
LA_0026	LA_E_5047880	6.215422	7.299949	0.202897	0.954229
LA_0019	LA_E_6584821	6.007478	7.521785	0.135114	0.958390
LA_0031	LA_E_8309979	5.966453	7.628579	0.212373	0.978407
LA_0030	LA_E_9438808	6.152403	7.399930	0.323816	0.959232
LA_0045	LA_E_6385327	5.977988	7.606631	0.166266	0.958656
LA_0045	LA_E_9848915	6.328830	7.860406	0.204410	0.961527
LA_0041	LA_E_1644908	5.918551	7.746248	0.050088	0.951139
LA_0009	LA_E_8183187	6.248770	7.436375	0.147870	0.962911
LA_0013	LA_E_4103863	5.833566	7.429083	0.304094	0.950749
LA_0043	LA_E_8388654	6.039109	7.721075	0.257136	0.961255
LA_0036	LA_E_9219334	5.780338	7.021687	0.297703	0.945860
LA_0043	LA_E_9641502	6.301359	7.319129	0.238351	0.966519
LA_0001	LA_E_6163703	5.883965	7.589630	0.332709	0.974792
LA_0036	LA_E_8151959	6.156921	7.684700	0.195797	0.962431
LA_0004	LA_E_6601144	5.863744	7.308971	0.092323	0.934151
LA_0035	LA_E_5479419	6.013765	7.680764	0.299174	0.964433
LA_0017	LA_E_6700890	6.159208	7.612314	0.278441	0.944277
LA_0028	LA_E_3233085	5.552996	7.145234	0.158343	0.970490
LA_0041	LA_E_4409988	5.959397	7.626973	0.232863	0.960508
LA_0039	LA_E_7092577	6.005726	7.422153	0.231706	0.973461
LA_0043	LA_E_3466694	6.273182	7.490840	0.333164	0.959610
LA_0039	LA_E_5667435	5.816525	7.536787	0.349571	0.952560
LA_0045	LA_E_9882420	5.938583	7.333589	0.197831	0.964621
LA_0037	LA_E_6227078	5.814979	7.185130	0.195376	0.962572
LA_0041	LA_E_1478219	6.019012	6.915052	0.174056	0.955251
LA_0002	LA_E_5054757	6.442132	7.479234	0.187941	0.970579
LA_0041	LA_E_1567330	5.868548	7.859638	0.141210	0.968090
LA_0039	LA_E_5625513	5.870858	7.424882	0.146257	0.962063
LA_0034	LA_E_6982823	5.622774	7.445334	0.277884	0.940553
LA_0048	LA_E_6589247	5.535551	7.185208	0.271743	0.938175
LA_0045	LA_E_5196059	5.980740	7.656247	0.244371	0.965330
LA_0016	LA_E_2660052	6.078014	7.524185	0.079033	0.964560
LA_0045	LA_E_6237116	6.533828	7.748656	0.315501	0.950487
LA_0043	LA_E_1180334	6.088227	7.822012	0.287071	0.961779
LA_0018	LA_E_6336673	6.053807	7.345500	0.443276	0.950503
LA_0007	LA_E_2232644	6.289684	7.718409	0.247236	0.978728
LA_0015	LA_E_3246561	6.298014	7.776900	0.104048	0.977125
LA_0016	LA_E_1121844	6.085436	7.520544	0.268347	0.966485
LA_0034	LA_E_6346117	6.504882	7.849326	0.293133	0.970289
LA_0043	LA_E_5296134	6.042970	7.414746	0.299355	0.949744
