utt1	utt2	asv_before	asv_after
LA_0026	LA_E_5047880	0.202897	0.327723
LA_0019	LA_E_6584821	0.135114	0.301838
LA_0031	LA_E_8309979	0.212373	0.341609
LA_0030	LA_E_9438808	0.323816	0.324409
LA_0045	LA_E_6385327	0.166266	0.347771
LA_0045	LA_E_9848915	0.204410	0.360197
LA_0041	LA_E_1644908	0.050088	0.377433
LA_0009	LA_E_8183187	0.147870	0.290875
LA_0013	LA_E_4103863	0.304094	0.301286
LA_0043	LA_E_8388654	0.257136	0.359996
LA_0036	LA_E_9219334	0.297703	0.293272
LA_0043	LA_E_9641502	0.238351	0.344765
LA_0001	LA_E_6163703	0.332709	0.340290
LA_0036	LA_E_8151959	0.195797	0.330909
LA_0004	LA_E_6601144	0.092323	0.260788
LA_0035	LA_E_5479419	0.299174	0.305195
LA_0017	LA_E_6700890	0.278441	0.297337
LA_0028	LA_E_3233085	0.158343	0.337168
LA_0041	LA_E_4409988	0.232863	0.365319
LA_0039	LA_E_7092577	0.231706	0.361113
LA_0043	LA_E_3466694	0.333164	0.324377
LA_0039	LA_E_5667435	0.349571	0.333687
LA_0045	LA_E_9882420	0.197831	0.360825
LA_0037	LA_E_6227078	0.195376	0.342647
LA_0041	LA_E_1478219	0.174056	0.284020
LA_0002	LA_E_5054757	0.187941	0.369059
LA_0041	LA_E_1567330	0.141210	0.299460
LA_0039	LA_E_5625513	0.146257	0.332089
LA_0034	LA_E_6982823	0.277884	0.268150
LA_0048	LA_E_6589247	0.271743	0.259111
LA_0045	LA_E_5196059	0.244371	0.382789
LA_0016	LA_E_2660052	0.079033	0.324561
LA_0045	LA_E_6237116	0.315501	0.328834
LA_0043	LA_E_1180334	0.287071	0.296494
LA_0018	LA_E_6336673	0.443276	0.314290
LA_0007	LA_E_2232644	0.247236	0.372385
LA_0015	LA_E_3246561	0.104048	0.369034
LA_0016	LA_E_1121844	0.268347	0.268173
LA_0034	LA_E_6346117	0.293133	0.270493
LA_0043	LA_E_5296134	0.299355	0.263636
LA_0001	LA_E_1173407	0.198402	0.284161
LA_0042	LA_E_5903059	0.288049	0.257398
LA_0034	LA_E_2041982	0.279886	0.267783
LA_0031	LA_E_5108121	0.233048	0.249641
LA_0008	LA_E_5625513	0.242981	0.257606
LA_0035	LA_E_1373332	0.237587	0.380825
LA_0009	LA_E_4691178	0.202081	0.347983
LA_0036	LA_E_6802463	0.290031	0.256022
LA_0008	LA_E_6826899	0.177385	0.300527
LA_0037	LA_E_7955349	0.335214	0.328089
LA_0010	LA_E_4484865	0.216799	0.374043
LA_0035	LA_E_8786056	0.219143	0.371537
LA_0004	LA_E_3572990	0.295255	0.281279
LA_0001	LA_E_7010243	0.284283	0.268565
LA_0023	LA_E_6017356	0.147377	0.404026
LA_0025	LA_E_2240603	0.099553	0.271248
LA_0016	LA_E_8672894	0.265422	0.370826
LA_0018	LA_E_9318500	0.298634	0.286859
LA_0043	LA_E_3822402	0.223143	0.317326
LA_0039	LA_E_8169597	0.288001	0.300506
LA_0017	LA_E_2222270	0.249777	0.369793
LA_0039	LA_E_6873356	0.170681	0.378725
LA_0047	LA_E_2025487	0.124724	0.269108
LA_0026	LA_E_9362104	0.238659	0.365178
LA_0009	LA_E_7862687	0.135818	0.341754
LA_0017	LA_E_5318552	0.248503	0.280432
LA_0043	LA_E_9777016	0.296716	0.274225
LA_0027	LA_E_1978236	0.250134	0.366285
LA_0009	LA_E_9480739	0.206175	0.400579
LA_0031	LA_E_3551532	0.254555	0.262806
LA_0047	LA_E_3715131	0.348284	0.323634
LA_0027	LA_E_5049397	0.216772	0.332858
LA_0045	LA_E_3704118	0.303066	0.297989
LA_0017	LA_E_2456681	0.203680	0.347871
LA_0015	LA_E_9082970	0.235796	0.352249
LA_0016	LA_E_7218987	0.065566	0.233283
LA_0044	LA_E_7769419	0.250902	0.348541
LA_0043	LA_E_2267312	0.145008	0.338701
LA_0037	LA_E_9630978	0.299553	0.327264
LA_0041	LA_E_5385777	0.318298	0.302555
LA_0017	LA_E_3206572	0.167356	0.303991
LA_0033	LA_E_6152359	0.337838	0.339529
LA_0037	LA_E_7295579	0.306253	0.304590
LA_0041	LA_E_3417739	0.338590	0.338240
LA_0010	LA_E_6712126	0.215384	0.374355
LA_0022	LA_E_1613408	0.106503	0.237622
LA_0005	LA_E_5421571	0.238673	0.365961
LA_0035	LA_E_4407998	0.155630	0.286324
LA_0034	LA_E_2288596	0.166670	0.304176
LA_0027	LA_E_3425904	0.206906	0.338194
LA_0016	LA_E_1540962	0.104748	0.248573
LA_0027	LA_E_4352922	0.221214	0.330121
LA_0039	LA_E_1715585	0.160255	0.319513
