utt_id,enroll_id,cosine_score
LA_E_5047880,LA_0026,0.475229
LA_E_6584821,LA_0019,0.515280
LA_E_8309979,LA_0031,0.556955
LA_E_9438808,LA_0030,0.541835
LA_E_6385327,LA_0045,0.583735
LA_E_9848915,LA_0045,0.612354
LA_E_1644908,LA_0041,0.523028
LA_E_8183187,LA_0009,0.649218
LA_E_4103863,LA_0013,0.510316
LA_E_8388654,LA_0043,0.582859
LA_E_9219334,LA_0036,0.488902
LA_E_9641502,LA_0043,0.529362
LA_E_6163703,LA_0001,0.489926
LA_E_8151959,LA_0036,0.487901
LA_E_6601144,LA_0004,0.563695
LA_E_5479419,LA_0035,0.564618
LA_E_6700890,LA_0017,0.472689
LA_E_3233085,LA_0028,0.522492
LA_E_4409988,LA_0041,0.551990
LA_E_7092577,LA_0039,0.607646
LA_E_3466694,LA_0043,0.609233
LA_E_5667435,LA_0039,0.496036
LA_E_9882420,LA_0045,0.516616
LA_E_6227078,LA_0037,0.464716
LA_E_1478219,LA_0041,0.491280
LA_E_5054757,LA_0002,0.608438
LA_E_1567330,LA_0041,0.551457
LA_E_5625513,LA_0039,0.528591
LA_E_6982823,LA_0034,0.469143
LA_E_6589247,LA_0048,0.533715
LA_E_5196059,LA_0045,0.587781
LA_E_2660052,LA_0016,0.572910
LA_E_6237116,LA_0045,0.504187
LA_E_1180334,LA_0043,0.609524
LA_E_6336673,LA_0018,0.496590
LA_E_2232644,LA_0007,0.553996
LA_E_3246561,LA_0015,0.521242
LA_E_1121844,LA_0016,0.628015
LA_E_6346117,LA_0034,0.452922
LA_E_5296134,LA_0043,0.509721
LA_E_1173407,LA_0001,0.494444
LA_E_5903059,LA_0042,0.559866
LA_E_2041982,LA_0034,0.469025
LA_E_5108121,LA_0031,0.617654
LA_E_5625513,LA_0008,0.523389
LA_E_1373332,LA_0035,0.464902
LA_E_4691178,LA_0009,0.641725
LA_E_6802463,LA_0036,0.412454
LA_E_6826899,LA_0008,0.646604
LA_E_7955349,LA_0037,0.519086
LA_E_4484865,LA_0010,0.539363
LA_E_8786056,LA_0035,0.603064
LA_E_3572990,LA_0004,0.561147
LA_E_7010243,LA_0001,0.531875
LA_E_6017356,LA_0023,0.468181
LA_E_2240603,LA_0025,0.576463
LA_E_8672894,LA_0016,0.624890
LA_E_9318500,LA_0018,0.484193
LA_E_3822402,LA_0043,0.544259
LA_E_8169597,LA_0039,0.568303
LA_E_2222270,LA_0017,0.557668
LA_E_6873356,LA_0039,0.550425
LA_E_2025487,LA_0047,0.535036
