utt1	utt2	label	score
id10270/x6uYqmx31kE/00001.wav	id10270/8jEAjG6SegY/00008.wav	1	0.547411
id10270/x6uYqmx31kE/00001.wav	id10300/ize_eiCFEg0/00003.wav	0	0.022526
id10270/x6uYqmx31kE/00001.wav	id10270/GWXujl-xAVM/00017.wav	1	0.661546
id10270/x6uYqmx31kE/00001.wav	id10273/0OCW1HUxZyg/00001.wav	0	0.001161
id10270/x6uYqmx31kE/00001.wav	id10270/8jEAjG6SegY/00022.wav	1	0.613608
id10270/x6uYqmx31kE/00001.wav	id10284/Uzxv7Axh3Z8/00001.wav	0	0.215093
id10270/x6uYqmx31kE/00001.wav	id10270/GWXujl-xAVM/00033.wav	1	0.631591
id10270/x6uYqmx31kE/00001.wav	id10284/7yx9A0yzLYk/00029.wav	0	0.212832
id10270/x6uYqmx31kE/00002.wav	id10270/5r0dWxy17C8/00026.wav	1	0.579445
id10270/x6uYqmx31kE/00002.wav	id10285/m-uILToQ9ss/00009.wav	0	-0.378136
id10270/x6uYqmx31kE/00002.wav	id10270/GWXujl-xAVM/00035.wav	1	0.559064
id10270/x6uYqmx31kE/00002.wav	id10306/uzt36PBzT2w/00001.wav	0	0.030224
id10270/x6uYqmx31kE/00002.wav	id10270/GWXujl-xAVM/00038.wav	1	0.600837
id10270/x6uYqmx31kE/00002.wav	id10307/kp_GCjLq4qA/00004.wav	0	0.079406
id10270/x6uYqmx31kE/00002.wav	id10270/GWXujl-xAVM/00033.wav	1	0.626050
id10270/x6uYqmx31kE/00002.wav	id10275/Mdk1SXywHck/00024.wav	0	0.060695
id10270/x6uYqmx31kE/00003.wav	id10270/GWXujl-xAVM/00038.wav	1	0.654494
id10270/x6uYqmx31kE/00003.wav	id10293/TwfthltapLg/00004.wav	0	-0.037656
id10270/x6uYqmx31kE/00003.wav	id10270/5r0dWxy17C8/00004.wav	1	0.602237
id10270/x6uYqmx31kE/00003.wav	id10273/8cfyJEV7hP8/00004.wav	0	-0.020591
id10270/x6uYqmx31kE/00003.wav	id10270/8jEAjG6SegY/00038.wav	1	0.679122
id10270/x6uYqmx31kE/00003.wav	id10300/SQzWyPhRqmk/00012.wav	0	-0.084622
id10270/x6uYqmx31kE/00003.wav	id10270/5r0dWxy17C8/00010.wav	1	0.606752
id10270/x6uYqmx31kE/00003.wav	id10305/G50_Ix7IVjU/00001.wav	0	-0.052378
id10270/x6uYqmx31kE/00004.wav	id10270/GWXujl-xAVM/00010.wav	1	0.699279
id10270/x6uYqmx31kE/00004.wav	id10306/2SaEbN8hYz4/00011.wav	0	0.026229
id10270/x6uYqmx31kE/00004.wav	id10270/GWXujl-xAVM/00045.wav	1	0.675895
id10270/x6uYqmx31kE/00004.wav	id10280/NXjT3732Ekg/00001.wav	0	0.007780
id10270/x6uYqmx31kE/00004.wav	id10270/OhfKF8FSq3Y/00003.wav	1	0.567051
id10270/x6uYqmx31kE/00004.wav	id10271/djK87iSSKQo/00001.wav	0	0.016344
id10270/x6uYqmx31kE/00004.wav	id10270/GWXujl-xAVM/00007.wav	1	0.722165
